Ticker,Description,Category,Type,Exchange,Quantity,Cost BGN,Revenue BGN,Profit BGN
AAPL,APPLE INC,Stocks,COMMON,NASDAQ,100,25277.14462,26226.75081568968,949.606195689681
ALTA,ALTAREA,Stocks,REIT,SBF,350,97414.80715725548,98524.54508399998,1109.7379267445067
AMZN,AMAZON.COM INC,Stocks,COMMON,NASDAQ,80,15616.32975,17125.948565914518,1509.6188159145167
BABA,ALIBABA GROUP HOLDING-SP ADR,Stocks,ADR,NYSE,60,11452.237127245502,12897.518946250944,1445.2818190054422
DVN,DEVON ENERGY CORP,Stocks,COMMON,NYSE,150,21243.1925,16866.08682401932,-4377.105675980682
EFC,ELLINGTON FINANCIAL INC,Stocks,REIT,NYSE,3000,96702.38521635615,78492.30214436713,-18210.083071989022
GOOGL,ALPHABET INC-CL A,Stocks,COMMON,NASDAQ,5,20498.421772499998,21688.86801671958,1190.4462442195836
MELI,MERCADOLIBRE INC,Stocks,COMMON,NASDAQ,20,34176.66594306035,25875.78267726046,-8300.883265799886
FB,META PLATFORMS INC-CLASS A,Stocks,COMMON,NASDAQ,50,16299.69724,17825.145418656382,1525.4481786563829
META,META PLATFORMS INC-CLASS A,Stocks,COMMON,NASDAQ,80,24179.9659299,24978.83505069579,798.8691207957891
NVDA,NVIDIA CORP,Stocks,COMMON,NASDAQ,-100,-33098.19513132639,-34351.92342,-1253.7282886736066
TTE,TOTALENERGIES SE,Stocks,COMMON,SBF,1100,105202.88553018749,119064.17594109499,13861.290410907503
TXN,TEXAS INSTRUMENTS INC,Stocks,COMMON,NASDAQ,200,56159.161706591345,58481.21743304704,2322.055726455692
XLF,FINANCIAL SELECT SECTOR SPDR,Stocks,ETF,ARCA,-2000,-123132.85938186894,-118715.2566,4417.602781868947
AAPL 16SEP22 125 P,,Equity and Index Options,P,CBOE,800,6303.558682176001,7412.872784077504,1109.314101901503
AMD 19AUG22 75 P,,Equity and Index Options,P,CBOE,1500,12902.3153262675,11640.367917196876,-1261.9474090706244
BABA 17JUN22 130 C,,Equity and Index Options,C,CBOE,700,1879.201705423112,0.0,-1879.201705423112
BABA 01JUL22 120 C,,Equity and Index Options,C,CBOE,2500,9182.418597553346,11768.319808026363,2585.9012104730173
BABA 01JUL22 125 C,,Equity and Index Options,C,CBOE,3000,2522.034169506672,10217.74547647821,7695.711306971539
FB 10JUN22 205.0 C,,Equity and Index Options,C,CBOE,4500,9487.558295702576,13840.502607917377,4352.9443122148
FB 10JUN22 207.5 C,,Equity and Index Options,C,CBOE,3000,5029.92687171,5517.741512909701,487.8146411997004
FB 10JUN22 210.0 C,,Equity and Index Options,C,CBOE,1500,2709.6212952001324,4663.939063176045,1954.3177679759128
FB 10JUN22 217.5 C,,Equity and Index Options,C,CBOE,-1500,-946.7391032677559,-2069.4072020625,-1122.6680987947439
FDX 19AUG22 165 P,,Equity and Index Options,P,CBOE,1000,9735.031701644999,3983.9082680949205,-5751.1234335500785
IWM 19AUG22 165 P,,Equity and Index Options,P,CBOE,1000,8976.054314839997,13781.554106218171,4805.4997913781735
META 17JUN22 167.5 C,,Equity and Index Options,C,CBOE,12000,13466.480265780003,11200.7800606573,-2265.7002051227028
META 17JUN22 175 C,,Equity and Index Options,C,CBOE,2000,3154.8767766599995,4661.142499572999,1506.265722913
META 17JUN22 177.5 C,,Equity and Index Options,C,CBOE,2000,2613.7460046599995,2917.48840329436,303.7423986343606
META 17JUN22 205 C,,Equity and Index Options,C,CBOE,700,1796.2573179879998,0.0,-1796.2573179879998
META 24JUN22 170 C,,Equity and Index Options,C,CBOE,2000,6630.24664563,7853.196889363889,1222.9502437338888
META 24JUN22 175 C,,Equity and Index Options,C,CBOE,7000,12014.43429189561,14949.086753335201,2934.652461439591
META 24JUN22 180 C,,Equity and Index Options,C,CBOE,1500,4210.333503495,6195.823844020229,1985.4903405252298
META 01JUL22 175 C,,Equity and Index Options,C,CBOE,1500,2585.68735033449,4591.715851622625,2006.0285012881354
META 01JUL22 177.5 C,,Equity and Index Options,C,CBOE,2000,2595.2010981369353,2834.3647473433202,239.1636492063849
META 01JUL22 180 C,,Equity and Index Options,C,CBOE,2000,3601.753018644999,3924.65634314394,322.90332449894095
META 01JUL22 182.5 C,,Equity and Index Options,C,CBOE,6000,8921.784598530001,5848.64220688006,-3073.1423916499407
SMH 16SEP22 180 P,,Equity and Index Options,P,CBOE,800,6825.349315607999,9591.54358257728,2766.1942669692808
TLT 19AUG22 117 C,,Equity and Index Options,C,CBOE,-4000,-20824.1060310608,-14992.0157937,5832.0902373608005
TXN 15JUL22 175 C,,Equity and Index Options,C,CBOE,-200,-2532.62293321239,-445.226424768,2087.39650844439
Total,,,,,,480832.2430597473,504868.74020309164,24036.4971433443

Ticker,Base currency,Quantity,Date entry,Price entry,Cost,Date exit,Price exit,Revenue,Profit,FX at entry,Price entry BGN,Cost BGN,FX at exit,Price exit BGN,Revenue BGN,Profit BGN
EFC,USD,200,2022-07-02,17.51715,3503.4300000000003,2022-06-14,13.955,2789.9100861,-713.5199139000001,1.88296,32.984092764,6596.8185528,1.87125,26.11329375,5220.619248614626,-1376.1993041853748
EFC,USD,25,2022-07-02,17.5326,438.31499999999994,2022-06-14,13.955,348.738760763,-89.57623923699992,1.88296,33.013184495999994,825.3296123999999,1.87125,26.11329375,652.5774060777638,-172.75220632223602
EFC,USD,100,2022-07-02,17.5253,1752.5300000000002,2022-06-14,13.96,1395.4550316,-357.0749684000002,1.88296,32.999438888,3299.9438888000004,1.87125,26.122650000000004,2611.2452278815,-688.6986609185005
EFC,USD,34,2022-07-02,17.53,596.02,2022-06-14,13.965,474.624706851,-121.395293149,1.88296,33.0082888,1122.2818192,1.87125,26.13200625,888.1414826949338,-234.14033650506622
EFC,USD,100,2022-07-02,17.53,1753.0,2022-06-14,13.96,1395.4550316,-357.5449684,1.88296,33.0082888,3300.82888,1.87125,26.122650000000004,2611.2452278815,-689.5836521185001
EFC,USD,100,2022-07-02,17.52515,1752.515,2022-06-14,13.955,1394.95504305,-357.55995695,1.88296,32.999156444,3299.9156444,1.87125,26.11329375,2610.309624307313,-689.6060200926872
EFC,USD,100,2022-07-02,17.527,1752.7,2022-06-14,13.96,1395.4550316,-357.24496840000006,1.88296,33.00263992,3300.263992,1.87125,26.122650000000004,2611.2452278815,-689.0187641185003
EFC,USD,460,2022-07-02,17.53,8063.8,2022-06-14,13.965,6421.393092689621,-1642.4069073103792,1.88296,33.0082888,15183.812848,1.87125,26.13200625,12016.031824695454,-3167.7810233045457
EFC,USD,100,2022-02-14,17.485,1748.5,2022-06-14,13.965,1395.9550201499176,-352.5449798500824,1.72838,30.2207243,3022.07243,1.87125,26.13200625,2612.1808314555333,-409.8915985444669
EFC,USD,47,2022-04-27,16.31,766.5699999999999,2022-06-14,13.965,656.0988594704613,-110.47114052953862,1.84809,30.142347899999997,1416.6903513,1.87125,26.13200625,1227.7249907841008,-188.9653605158992
EFC,USD,510,2022-04-27,16.32372549,8325.099999900001,2022-06-14,13.965,7119.370602765,-1205.7293971350018,1.84809,30.167713840814102,15385.534058815194,1.87125,26.13200625,13322.122240424005,-2063.4118183911887
EFC,USD,16,2022-04-27,16.35,261.6,2022-06-14,13.865,221.752839864,-39.847160136000014,1.84809,30.2162715,483.460344,1.87125,25.94488125,414.95500159551005,-68.50534240448997
EFC,USD,1,2022-04-27,16.35,16.35,2022-06-14,13.88,13.874552148000001,-2.4754478520000003,1.84809,30.2162715,30.2162715,1.87125,25.97295,25.962755706945003,-4.253515793054998
EFC,USD,1,2022-04-27,16.35,16.35,2022-06-14,13.89,13.884551919,-2.4654480810000017,1.84809,30.2162715,30.2162715,1.87125,25.991662500000004,25.98146777842875,-4.23480372157125
EFC,USD,125,2022-04-27,16.35,2043.7500000000002,2022-06-14,13.855,1731.194090063,-312.55590993700025,1.84809,30.2162715,3777.0339375000003,1.87125,25.926168750000002,3239.496941030389,-537.5369964696115
GOOGL,USD,5,2022-06-15,2186.475,10932.375,2022-06-24,2334.335,11670.407068642999,738.0320686429986,1.87502,4099.684354499999,20498.421772499998,1.85845,4338.2448807499995,21688.86801671958,1190.4462442195836
MELI,USD,1,2022-04-20,1123.317857,1123.317857,2022-06-10,699.805,698.788844466,-424.529012534,1.80594,2028.6446506705802,2028.6446506705802,1.84896,1293.9114527999998,1292.0326218638554,-736.6120288067248
MELI,USD,7,2022-04-20,1123.297449,7863.082143,2022-06-10,699.805,4898.521911258684,-2964.560231741316,1.80594,2028.6077950470599,14200.25456532942,1.84896,1293.9114527999998,9057.171073040856,-5143.083492288564
MELI,USD,12,2022-05-20,808.8383333,9706.0599996,2022-06-10,699.805,8397.466133586315,-1308.5938660136853,1.84913,1495.647227255029,17947.76672706035,1.84896,1293.9114527999998,15526.578982355752,-2421.187744704597
FB,USD,10,2022-02-06,191.16,1911.6,2022-06-07,194.425,1943.204176675,31.60417667500019,1.70606,326.13042959999996,3261.304296,1.83439,356.65127575,3564.5943096508536,303.2900136508538
FB,USD,20,2022-02-06,191.06,3821.2,2022-06-07,194.35,3886.9083877,65.7083877,1.70606,325.9598236,6519.196472,1.83439,356.5136965,7130.105877313003,610.9094053130029
FB,USD,1,2022-02-06,191.06,191.06,2022-06-07,194.395,194.390418355,3.330418355000006,1.70606,325.9598236,325.9598236,1.83439,356.59624405,356.58783952622844,30.628015926228443
FB,USD,12,2022-02-06,191.06,2292.7200000000003,2022-06-07,194.35,2332.1450326199997,39.425032619999456,1.70606,325.9598236,3911.5178832,1.83439,356.5136965,4278.063526387801,366.54564318780103
FB,USD,7,2022-02-06,191.06,1337.42,2022-06-07,194.37,1360.5579324890002,23.13793248900015,1.70606,325.9598236,2281.7187652,1.83439,356.5503843,2495.793865778497,214.0751005784973
